Expediente,"Número resolución","Fecha Publicación","Alcance Gaceta",Gaceta,Producto,"Tipo de Cambio","Precio Referencia Internacional","Precio Referencia Internacional en colones","Costo adquisión dólar por barril","Costo adquisión en colones por litro","Otros Ingresos Prorrateados","Asignación Subsidio Pescadores","Asignación subsidio Política Sectorial","Asignación subsidio Políticas del Gobierno","Subsidio Pescadores","Subsidio Política Sectorial","Subsidio cruzado políticas de gobierno","Diferencial de precios","Liquidación extraordinaria","Impuesto Único",Canon,"Margen de operación de Recope","Rendimiento sobre Base Tarifaria","Liquidación Ordinaria","Precio en terminal sin impuesto","Ley 9840","Precio en terminal con impuesto","Margen comercializador","Precio final sin punto fijo Peddlers","Margen Estaciones Terrestres","Margen Estaciones Aéreas","Flete estaciones de servicio","Margen Envasador","Precio estaciones de servicio sin IVA","IVA de Transportista","Precio final en estaciones de servicio","Margen Distribuidor y Agencias","Margen Detallista","Precio gas por litro en detallistas","Precio Terminal sin impuesto ni subsidio Sectorial",Rige,"Límite Inferior Banda","Límite Superior Banda","Densidad de referencia expresado en kgs","Precio en terminal con impuesto masa","Precio final sin punto fijo masa Peddlers","Margen de comercializador masa","ID SIET",Observaciones
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Gasolina RON 95",509.23273,0,0,88.26387,282.70772,0,0.12091,13.43594,0,0,0,0,2.11924,-1.17921,275,0.67676,26.72986,10.97,0,335.58122,0,610.58122,3.75,614.33122,56.68,0,12.77,0,680.03122,1.66,682,0,0,0,322.14528,True,0,0,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Gasolina RON 91",509.23273,0,0,85.6104,274.20868,0,0.12091,13.43594,0,0,0,0,11.2019,-0.15846,262.75,0.67676,26.50986,11.17,0,337.16559,0,599.91559,3.75,603.66559,56.68,0,12.77,0,669.36559,1.66,671,0,0,0,323.72964,True,0,0,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Gasolina RON 91 (pescadores)",509.23273,0,0,85.6104,274.20868,0,0,0,0,-17.3488,0,0,0,0,0,0,26.50986,0,0,283.36974,0,283.36974,0,0,0,0,0,0,,0,,0,0,0,283.36974,True,0,0,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Diésel para uso automotriz de 50 ppm de azufre",509.23273,0,0,98.84433,316.59676,0,0.12091,13.43594,0,0,0,0,-2.07563,-1.45748,155.5,0.67676,26.77986,11.64,0,365.71713,0,521.21713,3.75,524.96713,56.68,0,12.77,0,590.66713,1.66,592,0,0,0,352.28118,True,0,0,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Diésel uso automotriz 50 ppm azufre (pescadores)",509.23273,0,0,98.84433,316.59676,0,0,0,0,-17.39986,0,0,0,0,0,0,26.77986,0,0,325.97677,0,325.97677,0,0,0,0,0,0,,0,,0,0,0,325.97677,True,0,0,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Diésel marino",509.23273,0,0,268.30825,859.38687,0,0,0,0,0,0,0,0,0,155.5,0.67676,26.77986,11.64,0,898.48349,0,1053.98349,0,0,0,0,0,0,,0,,0,0,0,898.48349,True,0,0,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,Keroseno,509.23273,0,0,100.58395,322.16872,0,0.12091,13.43594,0,0,0,0,0,-0.97226,75,0.67676,25.10986,10.27,0,370.80994,0,445.80994,3.75,449.55994,56.68,0,12.77,0,515.25994,1.66,517,0,0,0,357.37399,True,0,0,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,Bunker,509.23273,0,0,75.98698,243.38503,0,0.12091,0,0,0,-48.68349,0,0.57431,0.8786,25.5,0.67676,50.12986,13.45,0,260.53198,0,286.03198,3.75,289.78198,0,0,0,0,,0,,0,0,0,309.21547,True,0,0,991.65,288.44046,292.22204,3.78158,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Bunker Térmico ICE",509.23273,0,0,83.60991,267.80114,0,0,0,0,0,10.31971,0,0,0,25.5,0.67676,14.89986,3.19,0,296.88747,0,322.38747,0,0,0,0,0,0,,0,,0,0,0,286.56776,True,0,0,929.22,346.94418,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Bunker Térmico ICE 2",509.23273,0,0,76.46287,244.90931,0,0.12091,0,0,0,-23.1634,0,1.59648,-5.23198,25.5,0.67676,14.89986,3.19,0,236.99793,0,262.49793,0,0,0,0,0,0,,0,,0,0,0,260.16134,True,0,0,967.2,271.39985,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"IFO 380",509.23273,0,0,162.38051,520.10207,0,0,0,0,0,0,0,0,0,0,0.67676,42.08986,12.72,0,575.58869,0,575.58869,0,0,0,0,0,0,,0,,0,0,0,575.58869,True,557.66,593.52,0,0,0,0,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,Asfalto,509.23273,0,0,74.97849,240.15486,0,0,0,0,0,0,0,5.37137,1.90485,53.25,0.67676,58.85986,16.2,0,323.1677,0,376.4177,3.75,380.1677,0,0,0,0,,0,,0,0,0,323.1677,True,0,0,1024.33333,367.47579,371.13671,3.66092,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Asfalto PG-64-22",509.23273,0,0,73.9976,237.01307,0,0.12091,0,0,0,0,0,5.37137,1.90485,53.25,0.67676,58.85986,16.2,0,320.14682,0,373.39682,3.75,377.14682,0,0,0,0,,0,,0,0,0,320.14682,True,0,0,1028.5,363.0499,366.69598,3.64609,,
ET-015-2025,RE-0021-IE-2025,17-03-2025,37,51,"Asfalto AC-10",509.23273,0,0,74.21643,237.71399,0,0,0,0,0,0,0,0,0,53.25,0.67676,59.06707,16.2,0,313.65782,0,366.90782,3.75,370.65782,0,0,0,0,,0,,0,0,0,313.65782,True,0,0,1025.3395,357.84032,361.49765,3.65733,,
